location,book_table,name
BTM,No,3719
BTM,Yes,154
Banashankari,No,691
Banashankari,Yes,53
Banaswadi,No,455
Banaswadi,Yes,8
Bannerghatta Road,No,1126
Bannerghatta Road,Yes,98
Basavanagudi,No,579
Basavanagudi,Yes,16
Bellandur,No,898
Bellandur,Yes,98
Brigade Road,No,877
Brigade Road,Yes,171
Brookefield,No,471
Brookefield,Yes,72
Church Street,No,362
Church Street,Yes,181
Cunningham Road,No,299
Cunningham Road,Yes,175
Domlur,No,351
Domlur,Yes,55
Electronic City,No,736
Electronic City,Yes,96
Frazer Town,No,555
Frazer Town,Yes,8
HSR,No,1784
HSR,Yes,208
Indiranagar,No,1367
Indiranagar,Yes,428
JP Nagar,No,1422
JP Nagar,Yes,288
Jayanagar,No,1365
Jayanagar,Yes,269
Kalyan Nagar,No,549
Kalyan Nagar,Yes,143
Kammanahalli,No,443
Kammanahalli,Yes,49
Koramangala 1st Block,No,801
Koramangala 1st Block,Yes,50
Koramangala 4th Block,No,531
Koramangala 4th Block,Yes,310
Koramangala 5th Block,No,1625
Koramangala 5th Block,Yes,670
Koramangala 6th Block,No,940
Koramangala 6th Block,Yes,112
Koramangala 7th Block,No,891
Koramangala 7th Block,Yes,162
Lavelle Road,No,248
Lavelle Road,Yes,228
MG Road,No,445
MG Road,Yes,347
Malleshwaram,No,552
Malleshwaram,Yes,89
Marathahalli,No,1244
Marathahalli,Yes,163
New BEL Road,No,450
New BEL Road,Yes,56
Old Airport Road,No,294
Old Airport Road,Yes,59
Rajajinagar,No,420
Rajajinagar,Yes,41
Residency Road,No,452
Residency Road,Yes,149
Richmond Road,No,487
Richmond Road,Yes,116
Sarjapur Road,No,699
Sarjapur Road,Yes,153
Shanti Nagar,No,309
Shanti Nagar,Yes,57
St. Marks Road,No,219
St. Marks Road,Yes,124
Ulsoor,No,666
Ulsoor,Yes,177
Whitefield,No,1316
Whitefield,Yes,252
others,No,4277
others,Yes,390
